股票代码,简称,货币资金(元),结算备付金(元),拆出资金(元),交易性金融资产(元),应收票据(元),应收帐款(元),预付帐款(元),应收保费(元),应收分保账款(元),应收分保合同准备金(元),应收利息(元),应收股利(元),其他应收款(元),买入返售金融资产(元),存货(元),一年内到期的非流动资产(元),其他流动资产(元),流动资产合计(元),发放贷款和垫款(元),可供出售金融资产(元),持有至到期投资(元),长期应收款(元),长期股权投资(元),投资性房地产(元),固定资产净额(元),在建工程(元),工程物资(元),固定资产清理(元),生产性生物资产(元),油气资产(元),无形资产(元),开发支出(元),商誉(元),长期待摊费用(元),递延税款借项合计(元),其他长期资产(元),非流动资产合计(元),资产总计(元),短期借款(元),向中央银行借款(元),吸收存款及同业存放(元),拆入资金(元),交易性金融负债(元),应付票据(元),应付帐款(元),预收帐款(元),卖出回购金融资产款(元),应付手续费及佣金(元),应付职工薪酬(元),应交税金(元),应付利息(元),应付股利(元),其他应付款(元),应付分保账款(元),保险合同准备金(元),代理买卖证券款(元),代理承销证券款(元),一年内到期的长期负债(元),其他流动负债(元),流动负债合计(元),长期借款(元),应付债券(元),长期应付款(元),专项应付款(元),预计负债(元),递延税款贷项合计(元),其他长期负债(元),长期负债合计(元),负债合计(元),股本(元),资本公积(元),库存股(元),盈余公积(元),一般风险准备(元),未分配利润(元),外币报表折算差额(元),归属于母公司所有者权益合计(元),少数股东权益(元),股东权益合计(元),负债和股东权益合计(元)
600802,福建水泥,"178,369,314.65","0","0","0","41,370,733.1","37,687,762.89","188,262,725.93","0","0","0","0","0","73,641,796.69","0","253,896,780.55","0","4,746,179.56","777,975,293.37","0","842,267,161.44","0","0","1,735,388","4,526,238.73","1,459,905,763.53","144,325,274.16","950,495.25","274,286.47","0","0","291,191,363.23","0","0","69,101,748.89","17,719,264.97","0","2,831,996,984.67","3,609,972,278.04","755,900,000","0","0","0","0","40,000,000","243,283,193.93","46,604,583.19","0","0","48,130,894.04","-16,583,161.72","0","576,000","253,802,227.8","0","0","0","0","486,132,797.38","743,046.48","1,858,589,581.1","187,000,000","0","6,600,000","9,202,233.79","0","155,299,986.82","11,509,666.71","369,611,887.32","2,228,201,468.42","381,873,666","661,284,960.89","0","28,317,465.34","0","106,644,537.29","0","1,180,709,420.56","201,061,389.06","1,381,770,809.62","3,609,972,278.04"
600803,威远生化,"559,308,317.4","0","0","0","26,014,319.31","95,400,031.81","33,211,878.37","0","0","0","0","0","30,276,564.55","0","134,253,567.87","0","0","878,464,679.31","0","0","0","0","17,128,944.52","4,663,798.02","455,617,404.57","74,655,783.89","0","0","0","0","229,639,329.34","11,739,916.3","0","7,666,449.7","5,634,909.61","0","806,746,535.95","1,685,211,215.26","457,000,000","0","0","0","0","99,400,000","148,674,062.12","60,123,028.98","0","0","5,115,898.77","-53,805,645.38","935,640.56","0","48,665,967.43","0","0","0","0","0","0","766,108,952.48","0","0","0","32,000,000","0","0","19,630,822.32","51,630,822.32","817,739,774.8","311,832,403","158,619,652.98","0","27,600,935.12","0","275,342,999.15","0","776,149,306.5","91,322,133.96","867,471,440.46","1,685,211,215.26"
600804,鹏博士,"1,167,410,775.38","0","0","0","0","446,443,789.92","246,074,998.13","0","0","0","0","0","691,012,083.81","0","165,212,219.85","1,588,231.27","55,762,590.91","2,773,504,689.27","0","0","0","0","1,172,392,258.56","0","1,502,733,966.01","604,974,740.93","88,281,216.43","0","0","0","39,202,024.15","193,200","449,001,793.53","12,612,950.27","23,175,246.13","0","3,892,567,396.01","6,666,072,085.28","1,120,000,000","0","0","0","0","0","707,931,895.59","542,975,447.14","0","0","14,384,114.03","25,880,809.71","0","11,515,072.98","148,208,241.26","0","0","0","0","0","403,091,636","2,973,987,216.71","0","0","32,568,726.98","0","0","0","0","32,568,726.98","3,006,555,943.69","1,338,512,477","1,444,005,181.61","0","54,807,910.39","0","696,752,449.18","0","3,534,078,018.18","125,438,123.41","3,659,516,141.59","6,666,072,085.28"
600805,悦达投资,"1,122,432,543.47","0","0","17,139,260.32","77,077,302.25","48,744,138.81","36,431,401.08","0","0","0","119,097.22","1,160,000","576,249,456.61","0","315,879,553.2","0","0","2,195,232,752.96","0","0","0","0","3,350,804,408.8","0","1,241,047,639.92","11,799,888.04","0","0","0","0","1,240,523,188.2","0","0","77,246,072.28","0","0","5,921,421,197.24","8,116,653,950.2","2,059,050,000","0","0","0","0","79,900,000","137,457,216.63","26,153,577.1","0","0","40,994,129.74","74,126,850.77","8,737,885.11","0","287,573,670.67","0","0","0","0","426,000,899.7","0","3,139,994,229.72","1,339,843,772.84","0","25,497,693.17","0","0","0","736,250","1,366,077,716.01","4,506,071,945.73","709,078,745","275,410,433.37","0","380,418,452.08","0","1,664,117,340.94","0","3,029,024,971.39","581,557,033.08","3,610,582,004.47","8,116,653,950.2"
600806,昆明机床,"192,200,330.65","0","0","0","104,034,946.22","284,945,522.91","79,699,344.86","0","0","0","0","0","14,229,856.33","0","983,679,390.52","0","0","1,658,789,391.49","0","0","0","0","61,924,580.95","0","548,781,349.24","119,146,793.1","0","0","0","0","35,378,639.17","0","7,296,277","1,365,116.55","46,245,088.62","79,737,125","899,874,969.63","2,558,664,361.12","100,000,000","0","0","0","0","46,596,910.09","363,932,002.93","433,353,771.35","0","0","33,498,389.64","7,310,302.86","0","135,898.49","40,665,636.99","0","0","0","0","418,509","0","1,025,911,421.35","0","0","1,918,881.9","15,267,565.87","17,390,990.97","0","41,490,702.91","76,068,141.65","1,101,979,563","531,081,103","27,303,321.72","0","116,508,002.6","0","727,245,922.1","0","1,402,138,349.42","54,546,448.7","1,456,684,798.12","2,558,664,361.12"
600807,天业股份,"33,033,094.66","0","0","0","3,600,000","2,283,923.44","618,224.52","0","0","0","0","0","37,876,435.46","0","1,668,377,121.21","0","53,172,205.09","1,798,961,004.38","0","0","0","0","0","81,590,327.47","44,173,116.48","0","0","0","0","0","12,035,035.41","0","0","448,641.89","50,970,526.53","0","189,217,647.78","1,988,178,652.16","0","0","0","0","0","0","71,413,617.62","686,102,422.39","0","0","24,952,936.79","71,926,352.13","0","21,164.2","279,350,976.22","0","0","0","0","200,000,000","0","1,333,767,469.35","110,000,000","0","0","0","0","0","0","110,000,000","1,443,767,469.35","321,151,200","55,360,875.97","0","24,777,233.25","0","75,740,594.01","0","477,029,903.23","67,381,279.58","544,411,182.81","1,988,178,652.16"
600808,马钢股份,"10,302,925,888","0","0","607,980","8,750,705,282","1,883,404,218","3,651,999,532","0","0","0","0","99,902,452","694,493,241","0","14,132,127,677","0","0","39,516,166,270","0","0","0","0","1,610,793,100","4,540,409","32,415,260,148","4,672,053,374","265,351,474","0","0","0","2,002,437,828","0","0","0","626,426,316","0","41,596,862,649","81,113,028,919","6,202,785,816","0","0","0","0","5,542,687,963","7,030,282,017","7,028,115,939","0","0","243,707,642","-326,154,569","218,132,515","80,281,968","731,793,349","0","0","0","0","2,681,045,000","0","29,432,677,640","12,906,772,000","9,243,722,051","0","0","0","44,328,987","552,778,524","22,747,601,562","52,180,279,202","7,700,681,186","8,338,358,399","0","3,442,866,348","0","7,456,020,890","16,483,680","26,954,410,503","1,978,339,214","28,932,749,717","81,113,028,919"
600809,山西汾酒,"2,020,358,378.46","0","0","0","576,029,971.14","23,145,910.95","133,136,653.88","0","0","0","0","0","10,964,167.22","0","1,249,734,003.57","0","168,569.96","4,013,537,655.18","0","0","0","0","3,835,937.04","0","609,649,869.28","203,921,546.25","0","0","0","0","27,179,206.69","0","0","0","52,771,524.98","857,653","898,215,737.24","4,911,753,392.42","0","0","0","0","0","141,200,000","130,268,324.72","1,155,808,093.02","0","0","152,875,016.88","595,644,733.03","0","7,798,975.36","146,843,502.01","0","0","0","0","0","0","2,330,438,645.02","0","0","0","0","0","0","0","0","2,330,438,645.02","432,924,133","297,795,125.67","0","257,453,369.65","0","1,502,529,721.58","0","2,490,702,349.9","90,612,397.5","2,581,314,747.4","4,911,753,392.42"
600810,神马股份,"861,253,233.33","0","0","0","561,236,634.29","710,888,415.74","261,874,628.95","0","0","0","0","0","123,297,757.99","0","440,191,933.4","0","0","2,958,742,603.7","0","0","0","0","1,269,166,859.82","945,249.53","3,848,461,439.43","250,362,403.13","714,516.5","0","0","0","187,418,781.68","0","0","0","24,336,813.21","0","5,581,406,063.3","8,540,148,667","1,002,834,363.95","0","0","0","0","651,569,000","1,325,028,258.11","253,595,138.62","0","0","66,642,600.92","-7,407,433.93","276,216.47","2,400","1,963,918,538.54","0","0","0","0","116,530,000","280,567.79","5,373,269,650.47","457,635,000","0","18,416,519.4","0","0","0","-14,878,828.39","461,172,691.01","5,834,442,341.48","442,280,000","1,834,533,348.85","0","232,935,471.87","0","106,844,943.71","0","2,618,047,417.54","87,658,907.98","2,705,706,325.52","8,540,148,667"
600811,东方集团,"2,186,562,678.28","0","0","0","0","137,469,986.44","1,394,674,261.66","0","0","0","0","1,279,231.69","1,534,190,380.79","0","711,999,345.55","0","19,337,000","5,985,512,884.41","0","0","0","0","6,336,892,603.37","0","293,368,290.53","168,500,128.15","0","0","0","0","127,587,601.19","0","0","50,700,851.12","41,879,489.62","0","7,018,928,963.98","13,004,441,848.39","3,182,000,000","0","0","0","0","0","424,862,725.94","148,476,030.77","0","0","29,244,928.47","-11,274,666.77","21,835,811.06","0","406,346,872.7","0","0","0","0","12,667,978.13","1,496,927,117.81","5,711,086,798.11","800,000,000","0","0","0","0","0","7,200,000","807,200,000","6,518,286,798.11","1,666,805,374","2,004,098,626.15","0","1,181,455,921.74","0","1,550,776,343.85","0","6,404,447,112.95","81,707,937.33","6,486,155,050.28","13,004,441,848.39"
