股票代码,简称,营业总收入(元),营业收入(元),金融资产利息收入(元),已赚保费(元),手续费及佣金收入(元),营业总成本(元),营业成本(元),金融资产利息支出(元),手续费及佣金支出(元),退保金(元),赔付支出净额(元),提取保险合同准备金净额(元),保单红利支出(元),分保费用(元),营业税金及附加(元),销售费用(元),管理费用(元),财务费用(元),资产减值损失(元),公允价值变动收益(元),投资收益(元),对联营企业和合营企业的投资收益(元),汇兑收益(元),营业利润(元),营业外收入(元),营业外支出(元),非流动资产处置净损失(元),利润总额(元),所得税(元),净利润(元),归属于母公司所有者的净利润(元),少数股东损益(元),基本每股收益(元),稀释每股收益(元)
600896,中海海盛,"1,203,569,275.4","1,203,569,275.4","0","0","0","1,318,589,724.77","1,127,589,785.52","0","0","0","0","0","0","0","17,588,325.71","9,256,291.22","69,214,403.2","87,271,866.97","7,669,052.15","-40,091,172.58","135,682,677.2","10,133,777.54","0","-19,428,944.75","45,911,651.74","1,492,772.14","129,199.22","24,989,934.85","1,787,388.5","23,202,546.35","12,709,395.74","10,493,150.61","0.02","0.02"
600897,厦门空港,"995,395,575.03","995,395,575.03","0","0","0","543,239,839.39","448,312,452.2","0","0","0","0","0","0","0","37,455,138.34","0","66,002,478.99","-9,234,189.11","703,958.97","0","4,236,918.41","1,255,993.27","0","456,392,654.05","1,323,530.39","1,502,151.28","1,307,898.96","456,214,033.16","109,346,180","346,867,853.16","326,262,062.64","20,605,790.52","1.0955","1.0955"
600898,三联商社,"934,718,361.11","934,718,361.11","0","0","0","876,645,245.36","794,177,286.36","0","0","0","0","0","0","0","5,328,973.17","46,718,486.65","43,264,078.31","-1,426,117.08","-11,417,462.05","0","0","0","0","58,073,115.75","2,905,106.45","-19,338,387.37","69,245.49","80,316,609.57","9,430,557.18","70,886,052.39","70,886,052.39","0","0.2807","0.2807"
600899,*ST信联,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600900,长江电力,"20,700,377,511.27","20,700,377,511.27","0","0","0","13,431,444,454.28","8,421,964,094.83","0","0","0","0","0","0","0","337,837,904.03","10,448,937.2","430,446,568.89","4,224,411,738.1","6,335,211.23","40,800","1,116,515,809.05","548,043,346.73","0","8,385,489,666.04","1,723,191,139.37","4,815,305.41","416,447.08","10,103,865,500","2,403,036,358.04","7,700,829,141.96","7,699,904,934.17","924,207.79","0.4667","0.4667"
600960,渤海活塞,"1,823,871,481.4","1,823,871,481.4","0","0","0","1,707,836,443.47","1,485,697,401.74","0","0","0","0","0","0","0","9,447,896.43","60,959,892.14","95,115,093.36","52,620,297.17","3,995,862.63","0","-57.28","0","0","116,034,980.65","6,049,365.63","3,928,701.26","2,995,834.34","118,155,645.02","17,584,860.25","100,570,784.77","100,386,061.54","184,723.23","0.62","0.62"
600961,*ST株冶,"11,722,697,829.11","11,722,697,829.11","0","0","0","12,380,151,328.33","11,415,505,992.07","0","0","0","0","0","0","0","2,653,424.88","111,845,055.32","346,969,382","189,674,389.08","313,503,084.98","619,227.11","48,976,868.47","0","0","-607,857,403.64","20,294,292.46","1,340,991.54","1,044,819.63","-588,904,102.72","3,451,236.92","-592,355,339.64","-589,294,230.32","-3,061,109.32","-1.12","-1.12"
600962,国投中鲁,"1,144,738,287.11","1,144,738,287.11","0","0","0","1,064,560,240.13","842,718,547.46","0","0","0","0","0","0","0","7,113,087.98","91,286,240.02","61,372,342.34","57,106,471.21","4,963,551.12","0","723,211.05","723,211.05","0","80,901,258.03","2,017,155.22","5,713,892.63","22,865.25","77,204,520.62","4,690,484.31","72,514,036.31","44,776,346.55","27,737,689.76","0.222","0.222"
600963,岳阳林纸,"6,965,011,407.95","6,965,011,407.95","0","0","0","6,872,051,178.57","5,647,497,104.67","0","0","0","0","0","0","0","39,562,063.29","235,734,633.58","452,585,843.78","522,196,862.49","-25,525,329.24","0","0","0","0","92,960,229.38","74,015,099.11","5,312,238.83","4,271,655.18","161,663,089.66","7,903,852.44","153,759,237.22","153,905,911.1","-146,673.88","0.18","0.18"
600965,福成五丰,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600966,博汇纸业,"5,330,332,772.09","5,330,332,772.09","0","0","0","5,127,545,909.87","4,443,498,744.97","0","0","0","0","0","0","0","14,860,029.68","254,381,590.91","152,247,834.66","244,502,732.8","18,054,976.85","0","0","0","0","202,786,862.22","121,165.62","41,953.88","38,663.32","202,866,073.96","31,556,934.81","171,309,139.15","128,294,244.57","43,014,894.58","0.2543","0.2543"
600967,北方创业,"2,957,330,128.8","2,957,330,128.8","0","0","0","2,814,347,058.53","2,572,305,648.91","0","0","0","0","0","0","0","8,414,686.96","47,557,360.07","192,413,040.96","190,056.6","-6,533,734.97","0","483,200","0","0","143,466,270.27","3,769,910.52","3,955,774.8","1,032,923.09","143,280,405.99","17,413,012.62","125,867,393.37","115,463,833.93","10,403,559.44","0.667","0.667"
600969,郴电国际,"1,855,710,757.32","1,855,710,757.32","0","0","0","1,678,610,520.98","1,460,180,014.49","0","0","0","0","0","0","0","9,596,287.88","6,057,012.84","145,083,653.46","54,510,200.92","3,183,351.39","-9,289.08","6,480,783.17","6,412,136.59","0","183,571,730.43","10,566,856.76","3,969,766.45","1,118,503.63","190,168,820.74","48,458,479.5","141,710,341.24","90,162,832.9","51,547,508.34","0.4288","0.4288"
600970,中材国际,"25,097,996,215.24","25,097,996,215.24","0","0","0","23,257,002,735.83","21,384,064,321.92","0","0","0","0","0","0","0","203,735,750.54","170,050,585.48","1,350,309,157.49","-6,429,478.02","155,272,398.42","-32,212,217.9","24,882,263.88","19,759,249.64","0","1,833,663,525.39","72,645,755.92","13,491,030.55","3,712,228.43","1,892,818,250.76","333,054,177.05","1,559,764,073.71","1,537,798,114.5","21,965,959.21","1.69","1.69"
600971,恒源煤电,"8,312,148,905.73","8,312,148,905.73","0","0","0","6,896,379,962.8","5,877,660,148.09","0","0","0","0","0","0","0","111,697,062.19","92,905,366.71","751,199,542.5","43,494,513.4","19,423,329.91","0","0","0","0","1,415,768,942.93","12,725,272.42","4,867,744.37","1,721,897.28","1,423,626,470.98","403,774,182.2","1,019,852,288.78","1,013,207,989.88","6,644,298.9","1.01","1.01"
600973,宝胜股份,"6,935,120,855.27","6,935,120,855.27","0","0","0","6,927,820,862.16","6,468,772,224.91","0","0","0","0","0","0","0","5,302,868.07","221,111,810.52","98,533,091.38","106,691,457.46","27,409,409.82","0","0","0","0","7,299,993.11","16,347,071.65","553,333.72","0","23,093,731.04","5,108,112","17,985,619.04","17,985,619.04","0","0.094","0.094"
600975,新五丰,"961,316,573.41","961,316,573.41","0","0","0","908,208,787.86","795,918,798.07","0","0","0","0","0","0","0","65,480.62","42,337,510.22","63,848,121.39","4,216,512.42","1,822,365.14","0","5,437,085.2","-2,426,366.07","0","58,544,870.75","24,296,000.67","8,194,324.51","593,857.99","74,646,546.91","2,550,020.18","72,096,526.73","72,055,443.76","41,082.97","0.4","0.4"
600976,武汉健民,"1,412,848,884.3","1,412,848,884.3","0","0","0","1,328,511,519.23","1,077,993,386.57","0","0","0","0","0","0","0","8,383,261.63","182,627,795.89","59,968,193.02","-1,252,132.1","791,014.22","0","9,074,756.3","0","0","93,412,121.37","3,924,617.96","3,065,336.68","1,716,641.48","94,271,402.65","15,995,263.33","78,276,139.32","78,251,426.16","24,713.16","0.51","0.51"
600978,宜华木业,"2,693,197,803.25","2,693,197,803.25","0","0","0","2,382,242,874.04","1,889,190,748.56","0","0","0","0","0","0","0","31,104,019.77","176,168,662.47","108,458,498.95","174,397,339.29","2,923,605","0","0","0","0","310,954,929.21","3,740,672.67","11,250,879.28","5,487,624.14","303,444,722.6","52,845,529.78","250,599,192.82","250,599,192.82","0","0.22","0.22"
600979,广安爱众,"931,203,196.88","931,203,196.88","0","0","0","864,910,949.81","614,842,118.39","0","0","0","0","0","0","0","12,825,344.06","49,891,966.51","114,945,364.66","72,275,859.35","130,296.84","0","1,881,088.22","1,826,938.22","0","68,173,335.29","11,603,076.15","7,302,325.46","3,128,426.34","72,474,085.98","19,129,319.49","53,344,766.49","59,523,639.03","-6,178,872.54","0.1004","0.1004"
600980,*ST北磁,"289,177,062.96","289,177,062.96","0","0","0","322,669,377.71","258,073,641.96","0","0","0","0","0","0","0","479,689.05","13,736,065.3","31,752,569.16","3,318,052.48","15,309,359.76","0","102,564.34","102,564.34","0","-33,389,750.41","550,604.99","368,352.44","195,267.47","-33,207,497.86","-338,243.77","-32,869,254.09","-25,061,631.9","-7,807,622.19","-0.1928","-0.1928"
600981,汇鸿股份,"7,469,736,480.29","7,469,736,480.29","0","0","0","7,410,196,607.34","7,135,221,503.9","0","0","0","0","0","0","0","13,370,331.19","169,461,181.37","75,088,604.57","1,072,100.17","15,982,886.14","-3,185,857.6","31,930,996.38","0","0","88,285,011.73","12,594,294.55","397,639.68","53,258.45","100,481,666.6","26,750,307.97","73,731,358.63","65,167,055.39","8,564,303.24","0.1263","0.1263"
600982,宁波热电,"991,838,394.88","991,838,394.88","0","0","0","934,556,674.4","869,239,786.87","0","0","0","0","0","0","0","4,822,538.72","37,008,910.86","20,316,224.23","3,293,882.69","-124,668.97","-11,902,872.75","70,136,972.12","0","0","115,515,819.85","5,510,960.23","4,360,561.67","339,673.65","116,666,218.41","30,453,171.12","86,213,047.29","85,879,429.63","333,617.66","0.5112","0.5112"
600983,合肥三洋,"3,892,406,567.82","3,892,406,567.82","0","0","0","3,548,488,227.68","2,518,740,309.59","0","0","0","0","0","0","0","15,832,679.8","825,865,186.61","173,828,157.54","-6,551,322.47","20,773,216.61","0","308,365.42","308,365.42","0","344,226,705.56","27,140,480.08","458,362.69","248,427.69","370,908,822.95","49,676,574.11","321,232,248.84","321,232,248.84","0","0.6","0.6"
600984,建设机械,"650,096,227.39","650,096,227.39","0","0","0","638,418,366.16","506,394,930.46","0","0","0","0","0","0","0","6,708,956.02","45,227,602.99","47,793,171.21","23,627,190.18","8,666,515.3","0","0","0","0","11,677,861.23","1,556,017.55","1,415,807.1","1,327,573.78","11,818,071.68","1,005,071.95","10,812,999.73","10,812,999.73","0","0.076","0.076"
600985,雷鸣科化,"549,289,140.03","549,289,140.03","0","0","0","499,655,895.69","372,207,082.2","0","0","0","0","0","0","0","7,829,984.45","25,683,437.37","90,186,595.1","-2,342,625.31","6,091,421.88","0","564,942.39","564,942.39","0","50,198,186.73","2,632,978.88","231,080.92","60,726.61","52,600,084.69","15,616,674.11","36,983,410.58","34,422,592.45","2,560,818.13","0.27","0.27"
600986,科达股份,"1,306,373,853.75","1,306,373,853.75","0","0","0","1,314,763,120.91","1,138,182,874.36","0","0","0","0","0","0","0","48,669,337.83","6,184,794.34","56,549,289.49","11,938,066.25","53,238,758.64","0","7,192,688.57","0","0","-1,196,578.59","6,823,307.02","2,127,973.01","267,134.27","3,498,755.42","9,939,471.74","-6,440,716.32","26,130,433.83","-32,571,150.15","0.08","0.08"
600987,航民股份,"2,433,379,283.91","2,433,379,283.91","0","0","0","2,071,209,215.04","1,908,791,565.17","0","0","0","0","0","0","0","16,825,157.19","33,750,460.57","103,135,747.57","5,993,936.97","2,712,347.57","-294,865.13","0","0","0","361,875,203.74","24,452,286.58","10,556,179.53","5,452,820.57","375,771,310.79","75,875,648.28","299,895,662.51","264,601,031.51","35,294,631","0.62","0.62"
600988,赤峰黄金,"49,039,906.84","49,039,906.84","0","0","0","46,637,341.41","36,491,066.44","0","0","0","0","0","0","0","662,172.67","1,453,986.28","5,618,525.58","-48,348.23","2,459,938.67","0","0","0","0","2,402,565.43","362,577.78","99,507.36","0","2,665,635.85","1,082,279.09","1,583,356.76","420,440.65","1,162,916.11","0.004","0.004"
600990,四创电子,"1,000,328,080.65","1,000,328,080.65","0","0","0","956,811,853.83","803,301,327.64","0","0","0","0","0","0","0","3,081,255.19","76,488,537.43","46,631,068.76","7,127,291.52","20,182,373.29","0","0","0","0","43,516,226.82","12,218,947.78","367,750.13","0","55,367,424.47","6,547,356.14","48,820,068.33","47,967,162.34","852,905.99","0.4079","0.4079"
600991,广汽长丰,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600992,贵绳股份,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600993,马应龙,"1,415,545,180.08","1,415,545,180.08","0","0","0","1,242,760,281.29","857,550,139.89","0","0","0","0","0","0","0","14,551,436.92","285,566,425.17","81,904,863.02","-2,111,969.13","5,299,385.42","-23,804,204.51","4,933,117.11","2,878,815.94","0","153,913,811.39","7,149,739.61","1,237,382.59","351,158.81","159,826,168.41","24,795,711.2","135,030,457.21","137,726,001.33","-2,695,544.12","0.42","0.42"
600995,文山电力,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600997,开滦股份,"19,533,549,653.86","19,533,549,653.86","0","0","0","18,518,349,505.78","17,022,648,124.58","0","0","0","0","0","0","0","109,807,525.45","198,666,180.69","801,515,153","348,616,477.23","37,096,044.83","0","-567,165.3","-528,618.75","0","1,014,632,982.78","21,893,366.26","5,695,717.21","3,629,153.85","1,030,830,631.83","235,628,718.95","795,201,912.88","785,749,582.53","9,452,330.35","0.64","0.64"
600998,九州通,"24,838,678,875.8","24,838,678,875.8","0","0","0","24,494,425,932.4","23,334,824,519.73","0","0","0","0","0","0","0","39,960,358.3","546,375,945.89","387,532,486.61","174,333,575.48","11,399,046.39","0","5,739,954","3,318,593.7","0","349,992,897.4","146,439,725.02","6,784,510.63","691,798.84","489,648,111.79","114,089,034.04","375,559,077.75","374,134,158.48","1,424,919.27","0.26","0.26"
600999,招商证券,"5,700,783,923.08","5,225,155,713.69","1,080,768,800.9","0","4,620,015,122.18","2,935,739,978.24","2,664,027,651.31","391,438,753.56","1,016,343,022.14","0","0","0","0","0","271,666,080.96","0","0","0","46,245.97","-318,077,507.85","1,201,047,014.89","275,317,052.74","24,438,201.26","2,561,128,062.38","13,463,770.69","10,078,004.86","0","2,564,513,828.21","556,219,828.37","2,008,293,999.84","2,008,293,999.84","0","0.4309","0.4309"
601000,唐山港,"2,998,260,900.21","2,998,260,900.21","0","0","0","2,387,036,477.86","1,982,149,196.23","0","0","0","0","0","0","0","86,650,054.83","8,613,995.45","271,602,506.81","36,607,234.72","1,413,489.82","0","11,628,238","1,420,874.2","0","622,852,660.35","33,686,703.53","2,786,888.76","2,081,677.53","653,752,475.12","170,392,805.03","483,359,670.09","461,438,268.18","21,921,401.91","0.45","0.45"
601001,大同煤业,"14,417,932,479.23","14,417,932,479.23","0","0","0","11,187,579,889.72","8,677,569,134.54","0","0","0","0","0","0","0","278,246,198.52","1,030,263,668.42","971,736,047.57","44,365,285.14","185,399,555.53","0","28,051,115.64","0","0","3,258,403,705.15","55,357,859.29","35,523,097.07","0","3,278,238,467.37","1,002,758,947.56","2,275,479,519.81","1,088,832,327.29","1,186,647,192.52","0.65","0.65"
601002,晋亿实业,"2,703,444,472.75","2,703,444,472.75","0","0","0","2,616,606,976.52","2,250,483,803.4","0","0","0","0","0","0","0","8,767,104.1","132,558,985.87","128,797,076.23","52,918,003.54","43,082,003.38","1,944,817","981,067.02","981,067.02","0","89,763,380.25","11,489,504.47","9,965,966.81","6,542,429.37","91,286,917.91","21,275,304.99","70,011,612.92","68,830,850.45","1,180,762.47","0.093","0.093"
601003,柳钢股份,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
601005,重庆钢铁,"23,532,945,000","23,532,945,000","0","0","0","25,413,396,000","22,571,662,000","0","0","0","0","0","0","0","27,105,000","372,449,000","824,288,000","750,047,000","867,845,000","-15,071,000","0","0","0","-1,895,522,000","528,287,000","7,861,000","461,000","-1,375,096,000","95,979,000","-1,471,075,000","-1,471,082,000","7,000","-0.849","-0.849"
601006,大秦铁路,"45,007,038,465","45,007,038,465","0","0","0","31,450,441,356","26,420,323,917","0","0","0","0","0","0","0","1,510,026,935","0","2,401,922,722","1,117,399,550","768,232","0","1,812,636,981","1,809,629,579","0","15,369,234,090","6,534,225","128,635,321","26,801,533","15,247,132,994","3,548,316,710","11,698,816,284","11,698,642,527","173,757","0.79","0.79"
