股票代码,简称,销售商品提供劳务收到的现金(元),客户存款和同业存放款项净增加额(元),向中央银行借款净增加额(元),向其他金融机构拆入资金净增加额(元),收到原保险合同保费取得的现金(元),收到再保险业务现金净额(元),保户储金及投资款净增加额(元),处置交易性金融资产净增加额(元),收取利息、手续费及佣金的现金(元),拆入资金净增加额(元),回购业务资金净增加额(元),收到的税费返还(元),收到的其他与经营活动有关的现金(元),经营活动现金流入小计(元),购买商品接受劳务支付的现金(元),客户贷款及垫款净增加额(元),存放中央银行和同业款项净增加额(元),支付原保险合同赔付款项的现金(元),支付利息、手续费及佣金的现金(元),支付保单红利的现金(元),支付给职工以及为职工支付的现金(元),支付的各项税费(元),支付的其他与经营活动有关的现金(元),经营活动现金流出小计(元),经营活动现金流量净额(元),收回投资所收到的现金(元),取得投资收益所收到的现金(元),处置固定资产、无形资产和其他长期资产而收回的现金(元),收回投资所收到的现金中的出售子公司收到的现金(元),收到的其他与投资活动有关的现金(元),投资活动现金流入小计(元),购建固定资产、无形资产和其他长期资产所支付的现金(元),投资所支付的现金(元),质押贷款净增加额(元),取得子公司及其他营业单位支付的现金净额(元),支付的其他与投资活动有关的现金(元),投资活动现金流出小计(元),投资活动产生的现金流量净额(元),吸收投资所收到的现金(元),吸收投资所收到的现金中的子公司吸收少数股东权益性投资收到的现金(元),借款所收到的现金(元),发行债券所收到的现金(元),收到其他与筹资活动有关的现金(元),筹资活动现金流入小计(元),偿还债务所支付的现金(元),分配股利利润或偿付利息所支付的现金(元),分配股利利润或偿付利息所支付的现金中的支付少数股东的股利(元),支付的其他与筹资活动有关的现金(元),筹资活动现金流出小计(元),筹资活动产生的现金流量净额(元),汇率变动对现金的影响(元),现金及现金等价物净增加额(元),现金及现金等价物余额(元)
600708,海博股份,"2,806,393,186.55","0","0","0","0","0","0","0","0","0","0","31,229,782.12","187,419,531.82","3,025,042,500.49","1,718,620,802.02","0","0","0","0","0","533,632,557.49","124,403,922.33","144,358,792.27","2,521,016,074.11","504,026,426.38","31,673,992.82","1,795,219.75","166,563,154.68","0","71,419,724.14","271,452,092.39","283,150,333.84","14,389,102.42","0","32,747,916.51","917,067.76","331,204,420.53","-59,752,328.14","0","0","2,306,627,525.45","0","6,700,000","2,313,327,525.45","2,507,098,395.96","171,045,923.92","26,872,264.31","300,000","2,678,444,319.88","-365,116,794.43","-2,814,534.57","76,342,769.24","357,091,305.08"
600709,ST生态,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600710,常林股份,"534,065,566.14","0","0","0","0","0","0","0","0","0","0","18,520,725.01","98,522,419.18","651,108,710.33","407,072,622.17","0","0","0","0","0","125,356,098.05","26,347,779.97","158,032,957.72","716,809,457.91","-65,700,747.58","0","0","3,333,461.53","0","0","3,333,461.53","81,934,034.34","0","0","0","77,319.3","82,011,353.64","-78,677,892.11","0","0","320,000,000","0","0","320,000,000","360,000,000","21,638,144.41","0","0","381,638,144.41","-61,638,144.41","-2,572,111.92","-208,588,896.02","289,824,877.2"
600711,盛屯矿业,"2,230,834,240.28","0","0","0","0","0","0","0","0","0","0","18,170.87","12,376,152.35","2,243,228,563.5","1,834,709,871.58","0","0","0","0","0","28,112,143.69","85,673,719.48","36,684,801.56","1,985,180,536.31","258,048,027.19","0","161,866.06","0","0","4,444,197.61","4,606,063.67","96,589,533.28","86,688,375.52","0","0","0","183,277,908.8","-178,671,845.13","0","0","332,700,000","199,000,000","1,178,391.4","532,878,391.4","371,000,000","41,683,931.56","0","11,999,576.51","424,683,508.07","108,194,883.33","0","187,571,065.39","227,111,579.8"
600712,南宁百货,"3,555,139,470.78","0","0","0","0","0","0","0","0","0","0","0","24,454,177.27","3,579,593,648.05","3,058,077,238.32","0","0","0","0","0","131,714,002.73","112,848,958.1","195,443,677.01","3,498,083,876.16","81,509,771.89","0","0","12,153.85","0","0","12,153.85","29,428,091.21","0","0","0","0","29,428,091.21","-29,415,937.36","0","0","89,400,000","0","0","89,400,000","0","22,608,270.46","0","0","22,608,270.46","66,791,729.54","0","118,885,564.07","498,215,973.83"
600713,南京医药,"16,562,797,646.66","0","0","0","0","0","0","0","0","0","0","4,746,530.63","284,098,175.53","16,851,642,352.82","16,042,918,346.51","0","0","0","0","0","467,422,180.68","311,388,636.42","384,181,468.07","17,205,910,631.68","-354,268,278.86","128,178,434.77","8,746,424.91","313,454,791.88","0","3,387,702.06","457,948,830.21","162,003,168.79","41,360,000","0","77,991,281","13,630,566.7","294,985,016.49","162,963,813.72","10,394,160","10,394,160","4,292,840,451.74","650,000,000","1,775,642,913.2","6,728,877,524.94","4,306,494,870","249,406,239.49","22,633,584","2,143,769,148.37","6,699,670,257.86","29,207,267.08","0","-162,097,198.06","1,032,539,462.97"
600714,金瑞矿业,"591,706,551.14","0","0","0","0","0","0","0","0","0","0","0","24,037,603.59","615,744,154.73","376,292,762.76","0","0","0","0","0","67,567,744.52","149,841,568.43","23,433,255.23","617,135,330.94","-1,391,176.21","0","0","102,836,120.2","0","0","102,836,120.2","20,619,075.16","0","0","0","0","20,619,075.16","82,217,045.04","0","0","50,000,000","0","245,289.09","50,245,289.09","130,000,000","37,766,293.05","0","0","167,766,293.05","-117,521,003.96","0","-36,695,135.13","128,478,768.16"
600715,松辽汽车,"17,801,266.74","0","0","0","0","0","0","0","0","0","0","0","14,613,799.13","32,415,065.87","15,595,386.16","0","0","0","0","0","6,151,503.93","13,930,347.77","24,246,646.07","59,923,883.93","-27,508,818.06","0","0","0","0","0","0","464,669","0","0","0","0","464,669","-464,669","1,000,000","0","34,000,000","0","0","35,000,000","10,000,000","3,253,074.99","0","0","13,253,074.99","21,746,925.01","-54.22","-6,226,616.27","2,092,693.48"
600716,凤凰股份,"1,837,045,103","0","0","0","0","0","0","0","0","0","0","0","96,293,914.5","1,933,339,017.5","1,657,834,001.95","0","0","0","0","0","20,175,623.18","343,223,323.65","329,051,854.91","2,350,284,803.69","-416,945,786.19","0","10,010,367.2","80,000","0","0","10,090,367.2","693,325.08","0","0","0","0","693,325.08","9,397,042.12","0","0","1,734,000,000","0","0","1,734,000,000","1,021,710,000","232,046,264.67","0","400,000","1,254,156,264.67","479,843,735.33","0","72,294,991.26","1,283,730,041.78"
600717,天津港,"14,438,863,114.1","0","0","0","0","0","0","0","0","0","0","58,833,607.75","194,687,304.66","14,692,384,026.51","10,515,296,841.42","0","0","0","0","0","1,887,504,906.48","626,418,439.52","550,685,156.45","13,579,905,343.87","1,112,478,682.64","52,462,040","140,800,743.11","18,529,843.45","0","0","211,792,626.56","2,627,568,695.41","7,000,000","0","0","0","2,634,568,695.41","-2,422,776,068.85","333,353,319.51","333,353,319.51","2,562,992,903.91","2,000,000,000","0","4,896,346,223.42","2,519,297,242.5","894,747,693.57","411,432,317.66","6,240,198.8","3,420,285,134.87","1,476,061,088.55","-2,931,825.32","162,831,877.02","3,446,033,083.75"
